timestamp,site_url,hunt,jobs_reviewed,grade,rationale
2026-08-20T20:13:15,https://topstartups.io/jobs/?job_location=Seattle,1,156,B,"Rich structured data (company, role, size, funding, apply URL) across 14 pages. Excellent scraper-friendly HTML. BUT: zero companies in 2-50 range. All 156 jobs are at 101+ employe"
2026-08-20T20:13:15,https://www.builtinseattle.com/jobs,1,25,C,Server-rendered HTML with JSON-LD structured data. 25 jobs visible on first page. BUT: no company size data in job cards (only available on company profile pages). Most visible job
2026-08-20T20:13:15,https://www.geekwire.com/geekwire-200/,1,0,D,"Cloudflare WAF blocks curl requests entirely. Web search reveals top companies (Helion Energy, Temporal, Truveta, Chainguard) but no job listings. The GeekWire 200 is a ranking ind"
2026-08-20T20:13:15,https://www.workatastartup.com/companies?location=Seattle,1,0,D,"JS-rendered SPA, curl returns empty shell. Requires browser automation or API access. Web search confirms platform exists and has Seattle companies (Moonset Health, Silurian, Clear"
2026-08-20T20:13:15,https://otta.com,1,0,E,Requires account creation and login to view any jobs. No public job listings accessible via curl. Search engine returns no indexable job pages. Cannot extract data without authenti
2026-08-20T20:13:15,https://www.indeed.com/jobs?q=startup&l=Seattle,1,0,E,"Cloudflare WAF blocks all automated requests. Returns 'Blocked - Indeed.com' page. Indeed's algorithm prioritizes large advertisers, burying small startup listings. Even with brows"
2026-08-20T20:13:15,https://www.fastaijobs.com/jobs/seattle,1,0,E,Empty response from curl. Likely JS-rendered or requires specific headers. Niche AI job board that may have small startup data but cannot be accessed programmatically.
2026-08-20T20:13:15,https://startup.jobs/?location=Seattle,1,0,E,Empty response from curl. JS-rendered SPA. May have good small startup data but requires browser automation to access.
2026-08-20T20:11:00,https://wellfound.com/location/seattle,1,452,B,452 total Seattle jobs across 8 pages; 26 at 2-50 employees extracted. JS-heavy SPA but SSR renders. Salary bands present $65k-$270k.
2026-08-20T20:11:00,https://builtin.com/jobs/seattle-wa/startups,1,~120,A,"46 jobs across 30 companies; 29 with salary bands. Mix large+startup. City filter works, size filter client-side JS."
2026-08-20T20:11:00,https://builtin.com/companies/seattle-wa/startups,1,~30,B,Company directory with profiles but sparse direct job listings; useful for discovery.
2026-08-21T12:00:00,https://wellfound.com/location/seattle?page=2,2,19,B,"Page 2: 39 listings on page, 19 parsed. Good salary bands, company sizes, equity data. Mix of startups and mid-size."
2026-08-21T12:00:00,https://wellfound.com/location/seattle?page=3,2,19,B,"Page 3: 34 listings on page, 19 parsed. Spice AI, Stripecraft, Qumulo, Vannevar Labs. Strong startup mix."
2026-08-21T12:00:00,https://wellfound.com/location/seattle?page=4,2,13,B,"Page 4: 19 listings on page, 13 parsed. DriveWealth, Harell Data, Tonifo. Good founding-stage roles."
2026-08-21T12:00:00,https://wellfound.com/location/seattle?page=5,2,15,B,"Page 5: 18 listings on page, 15 parsed. Postman, Starfish Space, Endurance Energy. Mix of growth and early stage."
2026-08-21T18:48:57.536443,https://builtin.com/jobs/seattle-wa/startups,2-deep,126,A,"126 unique jobs across 57 companies from 5 page loads (startups x3, AI+startup x2). 101 with salary data. 40 company profiles scraped. Server-rendered HTML with JSON-LD and data-id attributes."

2026-08-22T04:22:03.547Z,https://www.builtinseattle.com/jobs/remote/dev-engineering,3,8,B+,"Server-rendered HTML, 8 remote engineering jobs extracted with salary bands ($90K-$313K). Strong data quality. BUT: only 1 page of results, some companies unnamed in cards (need profile pages). Mix of large (Snap, CrowdStrike) and mid-size."
2026-08-22T04:22:03.547Z,https://wellfound.com/role/l/ai-engineer/seattle,3,8,A,"108 total AI engineer jobs in Seattle. Excellent structured data: salary bands, equity ranges, company size, funding stage. 8 roles extracted from page 1. TaxBit, Brex, Metropolis. SSR-rendered with good job card data."
2026-08-22T04:22:03.547Z,https://wellfound.com/role/l/software-engineer/seattle,3,5,A,"145 total SE jobs in Seattle. Strong startup focus: StepSecurity, Adronite ($190K-$270K), SpendAi ($170K-$250K), Metropolis. Good salary+equity data. Wellfound excels for small startup discovery."
2026-08-22T04:22:03.547Z,https://wellfound.com/role/l/full-stack-engineer/seattle,3,4,A-,"52 total FS jobs in Seattle. Klutch AI, Orchard Robotics, MenloExchange (founding role, 0.5-3% equity), AZX. Early-stage startup heavy. Good equity transparency."
2026-08-22T04:22:03.547Z,https://wellfound.com/remote,3,5,B,"11,789 total remote jobs. Page 1 yield: Calm, LaunchDarkly, Motive, Keep Company. Less Seattle-specific but good for remote-first companies. Salary bands present."
